label,Slice,SumSize
1,"[2388122, 578759, 929984, 303396, 1437016, 19992, 88680, 0, 0, 452, 108472, 0, 0, 0, 109009, 0, 0, 0, 90126, 0, 0, 0, 93635, 0, 0, 0, 93885, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.         0.21979744 0.43876069 0.46521263 0.50792077 0.62749346
 0.67320817 0.74572417 0.9052729  0.90529475 0.90875559 0.92260254
 0.9226096  0.9226182  0.9226268  0.9226354  0.92266071 0.93959716
 0.93961213 0.94242453 0.94559519 0.94876585 0.9519365  0.95510716
 0.95663717 0.95663717 0.95663717 0.95663717 0.95663717 0.95663717
 0.9566392  0.97250426 0.9747122  0.97692013 0.97912806 0.98133599
 0.98354392 0.98533522 0.98533564 0.98533606 0.98533649 0.98533691
 0.98533733 0.98533775 0.99999738 0.9999978  0.99999823 0.99999865
 0.99999908 0.9999995  0.99999993 1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]"
1,"[1916045, 1063775, 83191, 968310, 533382, 978092, 0, 0, 0, 108343, 0, 0, 0, 47098, 0, 0, 0, 41674, 0, 0, 0, 93635, 0, 0, 0, 93885, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.         0.14061964 0.3690883  0.48751276 0.49659058 0.51176719
 0.6750779  0.67508154 0.67739499 0.87217199 0.93725967 0.93725996
 0.93726051 0.93726107 0.93726163 0.93726218 0.95513882 0.95630203
 0.95746525 0.95862847 0.95979168 0.9609549  0.96211812 0.96261348
 0.96261348 0.96261348 0.96261348 0.96261348 0.96261348 0.96261348
 0.96941128 0.96941172 0.96941216 0.9694126  0.96941304 0.96941348
 0.98468367 0.98468411 0.98468455 0.984685   0.98468544 0.98468588
 0.98468633 0.99999729 0.99999774 0.99999818 0.99999863 0.99999907
 0.99999952 0.99999996 1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]"
1,"[2395995, 657022, 966704, 540664, 929406, 99270, 0, 0, 0, 89493, 0, 0, 0, 109009, 0, 0, 0, 93635, 0, 0, 0, 93885, 0, 0, 0, 84085, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.         0.24761622 0.45010506 0.48262128 0.51069424 0.665266
 0.66543639 0.87106793 0.90825228 0.90825228 0.9242481  0.92424854
 0.92424898 0.92424942 0.92424986 0.9242503  0.92425074 0.93866844
 0.93866888 0.93866931 0.93866975 0.93867019 0.93867063 0.95623286
 0.95623286 0.95623286 0.95623286 0.95623286 0.95623323 0.95623508
 0.97132071 0.97132115 0.97132159 0.97132202 0.97132246 0.9713229
 0.97132334 0.98833338 0.99037496 0.99241654 0.99445812 0.9964997
 0.99854128 0.9999972  0.99999764 0.99999808 0.99999851 0.99999895
 0.99999938 0.99999982 1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]"
1,"[2175630, 661264, 1044554, 1211870, 202538, 88680, 0, 0, 0, 108343, 0, 0, 0, 49799, 0, 0, 0, 41674, 0, 0, 0, 90546, 0, 0, 0, 93885, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.         0.30205217 0.45865541 0.50436227 0.59282769 0.67595751
 0.72769568 0.88901992 0.92264013 0.92264268 0.93714597 0.93714642
 0.93714686 0.93714731 0.93714775 0.93714819 0.95486729 0.95486729
 0.95486729 0.95486729 0.95486729 0.95713034 0.96142729 0.96365748
 0.96468055 0.96570363 0.96672671 0.96774978 0.96877286 0.96979594
 0.97194812 0.97415493 0.97636174 0.97856855 0.98077537 0.98298218
 0.98464033 0.98464078 0.98464122 0.98464167 0.98464212 0.98464257
 0.98464301 0.99999706 0.99999706 0.99999706 0.99999706 0.99999706
 0.99999798 0.99999992 1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]"
1,"[2638297, 261324, 1123861, 2, 1373951, 104293, 0, 0, 0, 108343, 0, 0, 0, 32983, 0, 0, 0, 91848, 0, 0, 0, 93885, 0, 0, 0, 84085, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.         0.2364178  0.46485992 0.49132892 0.5266001  0.67895161
 0.67895181 0.73812389 0.88680823 0.91822258 0.93476877 0.93476921
 0.93476965 0.93477008 0.93477052 0.93477096 0.93477139 0.95230439
 0.9530958  0.95388721 0.95467863 0.95547004 0.95626146 0.95705287
 0.95719027 0.95719027 0.95719027 0.95719027 0.95719027 0.95719179
 0.97208537 0.97431529 0.9765452  0.97877511 0.98100502 0.98323493
 0.98546484 0.98665716 0.9866576  0.98665803 0.98665846 0.98665889
 0.98665933 0.98665976 0.99999748 0.9999979  0.99999833 0.99999875
 0.99999918 0.99999961 1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]"
1,"[2365462, 677335, 634395, 66, 1508046, 88680, 0, 0, 0, 89493, 0, 0, 0, 47098, 0, 0, 0, 90126, 0, 0, 0, 93635, 0, 0, 0, 93885, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.         0.17803827 0.46183609 0.4834473  0.56689116 0.67236556
 0.67236577 0.71030078 0.88223502 0.91806314 0.93251073 0.93251117
 0.93251162 0.93251206 0.9325125  0.93251295 0.93251339 0.94709062
 0.94709062 0.94709062 0.94709062 0.94709062 0.94709062 0.95375834
 0.95476406 0.95476451 0.95476495 0.9547654  0.95476584 0.95476629
 0.96944688 0.96944732 0.96944777 0.96944821 0.96944865 0.96944909
 0.96944954 0.98470181 0.98470225 0.98470269 0.98470313 0.98470357
 0.98470401 0.98470446 0.99999707 0.99999707 0.99999707 0.99999707
 0.99999707 0.99999707 1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]"
1,"[2135699, 721814, 1111666, 308132, 1066028, 92394, 0, 0, 0, 89493, 0, 0, 0, 109009, 0, 0, 0, 93635, 0, 0, 0, 93885, 0, 0, 0, 84085, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.         0.16253233 0.43938394 0.47396499 0.57697687 0.66764113
 0.6676446  0.78187409 0.90970955 0.90970955 0.92453998 0.92454042
 0.92454086 0.9245413  0.92454174 0.92454218 0.92454262 0.9389044
 0.9389044  0.9389044  0.9389044  0.93890446 0.938906   0.95665116
 0.95892046 0.96118976 0.96345906 0.96572836 0.96799766 0.97026696
 0.97249828 0.97476111 0.97702394 0.97928677 0.9815496  0.98381243
 0.98607526 0.98650089 0.98650133 0.98650176 0.9865022  0.98650263
 0.98650307 0.99999711 0.99999711 0.99999711 0.99999711 0.99999711
 0.99999721 0.99999899 1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]"
1,"[2361214, 649979, 1119384, 397495, 1109727, 92394, 0, 0, 0, 76846, 0, 0, 0, 49799, 0, 0, 0, 93635, 0, 0, 0, 93885, 0, 0, 0, 84085, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.         0.2301388  0.45929263 0.48885795 0.51321335 0.68069254
 0.68069277 0.80241205 0.92161592 0.92161592 0.93637614 0.93637658
 0.93637702 0.93637745 0.93637789 0.93637833 0.93637876 0.94865229
 0.94865229 0.94865229 0.94865229 0.94865229 0.95242355 0.95660779
 0.95660822 0.95660865 0.95660908 0.95660951 0.95660994 0.95661037
 0.97156627 0.9715667  0.97156713 0.97156756 0.971568   0.97156843
 0.97156886 0.9865647  0.98656513 0.98656556 0.98656599 0.98656642
 0.98656686 0.99999712 0.99999712 0.99999712 0.99999712 0.99999712
 0.99999712 0.99999881 1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]"
1,"[1929286, 1146296, 1137005, 2, 949811, 543191, 18, 0, 0, 89493, 0, 0, 0, 47098, 0, 0, 0, 90126, 0, 0, 0, 0, 91848, 0, 0, 93885, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.         0.20100961 0.38786895 0.46994853 0.52613882 0.67918989
 0.67919012 0.6792003  0.8057452  0.91872133 0.93448646 0.93448867
 0.9344891  0.93448954 0.93448997 0.9344904  0.93449083 0.94908154
 0.95020797 0.95133441 0.95246085 0.95358728 0.95471372 0.95584015
 0.95618282 0.95618282 0.95618282 0.95618282 0.95618305 0.95618439
 0.97053014 0.97271193 0.97489371 0.9770755  0.97925728 0.98143907
 0.98362085 0.98508563 0.98508606 0.9850865  0.98508693 0.98508736
 0.9850878  0.98508823 0.99999743 0.99999786 0.99999829 0.99999872
 0.99999915 0.99999958 1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]"
1,"[2345042, 729947, 1109877, 366937, 1096554, 88680, 0, 0, 0, 89493, 0, 0, 0, 109009, 0, 0, 0, 41674, 0, 0, 0, 91848, 0, 0, 0, 93867, 18, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.         0.23591199 0.45677629 0.48436738 0.51590757 0.68447071
 0.68447097 0.78660284 0.85189745 0.91972508 0.93355852 0.93355895
 0.93355937 0.9335598  0.93356023 0.93356065 0.93356108 0.94751877
 0.94751877 0.94751877 0.94751877 0.94751877 0.94751877 0.9608256
 0.96521888 0.96620543 0.96719197 0.96817851 0.96916505 0.9701516
 0.97102425 0.97102468 0.9710251  0.97102552 0.97102594 0.97102636
 0.97102678 0.98627041 0.98846625 0.99066208 0.99285792 0.99505375
 0.99724959 0.99944543 0.99999719 0.99999719 0.99999719 0.99999719
 0.99999719 0.99999719 1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]"
