label,Slice,SumSize
0,"[1022393, 155687, 12895, 142639, 259609, 507972, 14657, 553447, 0, 1077401, 330027, 115935, 289329, 349963, 123285, 35867, 498, 35863, 386467, 556534, 276065, 43, 0, 575269, 289785, 0, 43, 495245, 0, 0, 14017, 43, 251909, 0, 0, 14621, 43, 252823, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.         0.07615509 0.13427706 0.15293564 0.15305892 0.16903982
 0.1726939  0.17275126 0.20181521 0.25110905 0.26620232 0.26712141
 0.32519193 0.33499072 0.37377858 0.42088934 0.46593949 0.46645297
 0.50606873 0.50609871 0.52017294 0.52029982 0.55741949 0.58377071
 0.6082467  0.61392523 0.61544373 0.61727914 0.61862157 0.62024866
 0.63762046 0.6532927  0.69164503 0.73509946 0.75859473 0.76981477
 0.78104505 0.80236249 0.82367993 0.84010176 0.84157213 0.8749613
 0.87496306 0.87496482 0.87889801 0.90248835 0.92607868 0.93536117
 0.93568672 0.93601227 0.93633782 0.93666336 0.93686831 0.94996962
 0.96565793 0.96775618 0.96805953 0.96836288 0.96866623 0.96896958
 0.96926557 0.97626631 0.99181239 1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]"
0,"[143388, 1115247, 146209, 0, 1367096, 132657, 274726, 175742, 188402, 109596, 465553, 464863, 517147, 203386, 306037, 305431, 15124, 0, 722707, 0, 23322, 43, 575269, 16302, 0, 0, 43, 495245, 0, 0, 0, 265969, 0, 0, 0, 0, 267487, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 322704, 0, 0, 0, 0, 0]","[0.         0.01661101 0.01666948 0.14647936 0.1467156  0.16335207
 0.16339807 0.16344407 0.31789814 0.33685839 0.33701918 0.36879684
 0.37089867 0.3889993  0.41028413 0.41109813 0.43436525 0.47093022
 0.47729862 0.50884985 0.53316168 0.57861797 0.60691814 0.6171597
 0.62151233 0.65242824 0.68719986 0.6888961  0.68894664 0.6889537
 0.68954793 0.75611265 0.77314712 0.77397971 0.77481231 0.77524734
 0.78436097 0.8115572  0.83875344 0.84367638 0.84367729 0.84367821
 0.84367913 0.84368005 0.84436835 0.86728191 0.89019548 0.90112663
 0.90143187 0.9017371  0.90204234 0.90234758 0.91422351 0.93186939
 0.93208663 0.93230386 0.9325211  0.93273833 0.93295557 0.93317281
 0.93339004 0.94816378 0.962669   0.96266964 0.96267028 0.96267093
 0.96267157 0.96267221 0.96267286 0.9626735  0.96364415 0.96465875
 0.96567334 0.96668793 0.96770252 0.96871712 0.96973171 0.9707463
 0.97176089 0.97277549 0.97379008 0.97480467 0.97581926 0.97683385
 0.97784845 0.97886304 0.97987763 0.98089222 0.98190682 0.98292141
 0.983936   1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]"
0,"[143388, 1061539, 426570, 186572, 1045224, 0, 0, 320620, 270934, 484745, 208135, 237178, 498023, 331494, 353791, 220614, 237098, 109180, 692578, 455, 5787, 572734, 0, 0, 0, 575269, 0, 0, 0, 0, 495245, 0, 0, 0, 265926, 0, 0, 0, 230162, 267659, 14932, 0, 0, 0, 43, 0, 0, 0, 0, 43, 0, 0, 0, 0, 43, 0, 0, 0, 0, 43]","[0.         0.02373753 0.06983431 0.13355491 0.14315856 0.1827429
 0.22652253 0.29657319 0.30486886 0.3070569  0.30924493 0.31143296
 0.31356648 0.33585368 0.375684   0.37771382 0.43274741 0.43502086
 0.44176221 0.47808291 0.47976232 0.53175508 0.54282787 0.56351867
 0.58881301 0.61329458 0.62977299 0.6450839  0.64697711 0.66888137
 0.67813242 0.71959639 0.73895032 0.73903689 0.73937109 0.76432142
 0.80339377 0.81215992 0.82092607 0.82969221 0.83845836 0.84722451
 0.85599066 0.8638383  0.87043475 0.87703119 0.88362764 0.89022408
 0.89682053 0.90341698 0.91001342 0.91353381 0.91374398 0.91395414
 0.9141643  0.91437447 0.91458463 0.9147948  0.94214801 0.94431802
 0.94648802 0.94865803 0.95082804 0.95299805 0.95551057 0.97009113
 0.99815285 0.99855029 0.99996996 0.99998259 0.99998338 0.99998418
 0.99998497 0.99998577 0.9999865  0.99998704 0.99998759 0.99998813
 0.99998868 0.99998923 0.99998977 0.99999032 0.99999086 0.9999914
 0.99999195 0.99999249 0.99999303 0.99999357 0.99999411 0.99999465
 0.99999519 0.99999574 0.99999628 0.99999683 0.99999738 0.99999793
 0.99999847 0.99999902 0.99999957 1.        ]"
0,"[117620, 919800, 408977, 1150, 439955, 0, 0, 1108167, 415846, 479606, 501740, 72032, 297051, 148026, 35649, 376266, 147385, 440378, 102, 136132, 455, 43, 571160, 0, 0, 0, 43, 575269, 0, 0, 0, 43, 495245, 0, 0, 0, 265969, 0, 0, 0, 267444, 252866, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.         0.00787968 0.01465636 0.12179614 0.13053611 0.17036638
 0.17045395 0.17169856 0.22669615 0.25788288 0.2890696  0.32025633
 0.34581242 0.35657694 0.39557634 0.40761892 0.42543316 0.46862774
 0.51795669 0.52263785 0.5311634  0.55868539 0.57262571 0.57692849
 0.58708235 0.58715613 0.61583286 0.63428537 0.64986055 0.68641595
 0.69989947 0.69996145 0.70002399 0.71584056 0.71588578 0.71588908
 0.71658038 0.7174772  0.76660809 0.7827232  0.78272416 0.78272512
 0.78272607 0.78272703 0.79273509 0.81464941 0.83656373 0.8500414
 0.85004235 0.8500433  0.85004424 0.85004519 0.85184043 0.87630899
 0.90077755 0.90819491 0.90847737 0.90875983 0.90904229 0.90932475
 0.90960721 0.94183204 0.94561992 0.9494078  0.95319569 0.95698357
 0.96077146 0.96455934 0.96834722 1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]"
0,"[1162477, 148085, 43, 78954, 0, 422644, 33161, 433601, 9209, 611723, 1045224, 438699, 186229, 213536, 634819, 132311, 313805, 31950, 45830, 498, 0, 570125, 0, 0, 43, 575269, 0, 4657, 143724, 43, 495245, 0, 0, 14017, 43, 251909, 0, 0, 14621, 43, 252823, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.         0.13844089 0.13849935 0.1560743  0.15607744 0.16078945
 0.16491789 0.16551497 0.16556087 0.16560678 0.21625444 0.21871958
 0.22778823 0.2779322  0.28095636 0.28315787 0.32637609 0.39940151
 0.47584442 0.51098863 0.53786834 0.54713972 0.56371178 0.57890661
 0.59146979 0.66094901 0.66919711 0.69803645 0.70653501 0.71559236
 0.7185532  0.72160252 0.7233484  0.7333536  0.75865016 0.78394673
 0.79129947 0.79130057 0.79130167 0.79130278 0.79130388 0.80875915
 0.83589108 0.85981781 0.85986349 0.85990917 0.85995485 0.87115429
 0.87748581 0.88375548 0.907861   0.93196652 0.93672054 0.93703323
 0.93734593 0.93765862 0.93797132 0.93813993 0.9522179  0.96738195
 0.9684238  0.96872238 0.96902096 0.96931953 0.96961811 0.96988241
 0.9782942  0.99372122 0.99999536 0.99999616 0.99999696 0.99999776
 0.99999857 0.99999937 1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]"
0,"[134670, 1117210, 0, 441148, 451408, 548681, 149614, 301345, 73818, 1062422, 0, 182020, 330304, 0, 280677, 346070, 181389, 16533, 290767, 0, 128772, 556534, 43, 575269, 0, 0, 0, 43, 495245, 0, 0, 0, 271756, 0, 18983, 134819, 0, 267487, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.         0.01035721 0.06997318 0.15897904 0.17213237 0.1852857
 0.19843903 0.23031965 0.25678568 0.31979266 0.3224307  0.33938032
 0.3467014  0.37499974 0.38169184 0.46022776 0.51229892 0.51229892
 0.51347076 0.51700397 0.53449326 0.57358552 0.57358552 0.57358552
 0.57358552 0.6083684  0.61450271 0.64902063 0.6694121  0.67225627
 0.67432273 0.70425572 0.71097515 0.71603127 0.72108739 0.76692893
 0.78902099 0.78902359 0.80673425 0.83370344 0.85784096 0.85784184
 0.85784272 0.85784361 0.85784449 0.85784537 0.86456605 0.88930239
 0.91403873 0.91736236 0.91767354 0.91798473 0.91829592 0.91860711
 0.94890311 0.94998771 0.95053109 0.95107448 0.95161786 0.96822777
 0.96875671 0.96928566 0.969747   0.99999486 0.99999552 0.99999619
 0.99999685 0.99999751 0.99999817 0.99999883 0.99999949 1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]"
0,"[152440, 939116, 11250, 186572, 816895, 438781, 43307, 1045224, 0, 416297, 348936, 194675, 259078, 182317, 381178, 20066, 14626, 556534, 95952, 43, 0, 575269, 0, 0, 43, 0, 495245, 0, 0, 14060, 251909, 0, 0, 0, 14664, 252823, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.         0.02434291 0.03605621 0.15476299 0.16120052 0.1704496
 0.18007556 0.22701326 0.27384775 0.2950363  0.34387402 0.4093932
 0.47807516 0.47820972 0.47836035 0.47851098 0.48259248 0.56477616
 0.57384431 0.59451158 0.61541314 0.63533221 0.64955078 0.66843911
 0.69648779 0.70832834 0.70946988 0.71783341 0.76533664 0.78793051
 0.79504019 0.79576457 0.7957663  0.79576804 0.82496196 0.86406038
 0.86901359 0.86901443 0.86901528 0.86901613 0.86901698 0.86901783
 0.87708995 0.89646185 0.91583376 0.93213719 0.93252885 0.93292052
 0.93331218 0.93370384 0.93422139 0.96604373 0.96630372 0.96656372
 0.96682372 0.96708371 0.96734371 0.96760371 0.96780162 0.99999456
 0.99999527 0.99999598 0.99999668 0.99999739 0.9999981  0.99999881
 0.99999952 1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]"
0,"[102104, 1066341, 188461, 448617, 97945, 21241, 452238, 1045224, 582690, 378960, 7705, 381294, 481853, 631331, 455, 81261, 1150, 18461, 556577, 0, 575269, 0, 0, 462, 495245, 0, 0, 7592, 77003, 251909, 11097, 30684, 47949, 14664, 252823, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.         0.02655922 0.09289984 0.14102215 0.15487131 0.18085669
 0.20304117 0.24381585 0.25212392 0.25370371 0.25517297 0.28825348
 0.33827755 0.41585052 0.43194491 0.49924867 0.50753741 0.54334302
 0.54395045 0.57114142 0.58961926 0.6318699  0.64681604 0.71515897
 0.7183627  0.71857705 0.72553291 0.72789898 0.72851808 0.73007352
 0.76511085 0.79480545 0.81166767 0.83900611 0.86169845 0.86170684
 0.86171523 0.86172362 0.86173201 0.8617404  0.87116448 0.90419515
 0.91943035 0.91960784 0.91978534 0.91996283 0.92014033 0.9279371
 0.92916943 0.95861442 0.95908106 0.95954771 0.96085928 0.96282135
 0.96931319 0.96999365 0.97059467 0.9999093  0.99999564 0.99999628
 0.99999692 0.99999756 0.9999982  0.99999884 0.99999948 1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]"
0,"[1041555, 155646, 1347, 13408, 421494, 622935, 163031, 1158268, 0, 37399, 85798, 604856, 216880, 332519, 556529, 50131, 242830, 40614, 0, 41288, 745160, 43, 0, 575269, 0, 26052, 43, 0, 496466, 0, 0, 265969, 0, 0, 0, 0, 520310, 0, 0, 146407, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.         0.07901023 0.12122918 0.13866052 0.13877191 0.13877579
 0.13877822 0.17615725 0.18864938 0.18872586 0.25985304 0.27411822
 0.35861941 0.41449709 0.41449709 0.41449709 0.41714738 0.42128937
 0.42533332 0.45546822 0.51309614 0.52679719 0.52688924 0.52884916
 0.59847574 0.63994763 0.64140114 0.6453476  0.67316279 0.67616029
 0.67780536 0.67837056 0.67893577 0.68030597 0.76772741 0.76773107
 0.77615737 0.79739543 0.81863349 0.83362693 0.8339333  0.83423967
 0.83454604 0.83651744 0.83765167 0.85505535 0.87245903 0.88986271
 0.89335348 0.89376975 0.89418602 0.89460229 0.89491451 0.92447537
 0.92845692 0.93243847 0.93642003 0.94040158 0.94438314 0.94836469
 0.95234624 0.97052369 0.98361232 0.98411456 0.98461679 0.98511903
 0.98562126 0.99999607 0.999998   0.99999994 1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]"
0,"[124947, 1062554, 14657, 484480, 16758, 239998, 472512, 1103339, 132427, 61381, 0, 339442, 254068, 199080, 190273, 115205, 203186, 455, 25140, 859457, 17091, 43, 0, 589891, 0, 193841, 189221, 0, 495245, 0, 0, 14060, 0, 251909, 0, 0, 14664, 0, 252823, 0, 78414, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.         0.00574981 0.01745212 0.14910109 0.15454262 0.17480766
 0.19507269 0.21131333 0.22506899 0.24519161 0.26307423 0.29752377
 0.30086999 0.30325266 0.45400569 0.45400569 0.46166138 0.46183636
 0.46201135 0.46647631 0.51034173 0.54240121 0.54256788 0.5672386
 0.57184562 0.59225455 0.60534153 0.60638583 0.6303016  0.63038847
 0.63045939 0.63825401 0.68855056 0.74006647 0.74129232 0.74213708
 0.74214021 0.75583524 0.77828411 0.80073297 0.81604439 0.82311529
 0.83018619 0.83725709 0.86274813 0.8667175  0.88654284 0.90636819
 0.92418343 0.92455617 0.92492891 0.92530165 0.9256744  0.92588645
 0.93955667 0.95576478 0.95740035 0.95771115 0.95802195 0.95833275
 0.95864354 0.95892875 0.96746158 0.98330365 0.99071964 0.99151513
 0.99231063 0.99310612 0.9999958  0.99999808 1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]"
